Autor,Fecha,Hora,nrolikes,nrodislikes,nroComentarios,texto
Anónimo,June 4 2020,6:20 p.m.,4,1,0,"Quiero confesar que me impacto la chica que llegó al minuto 90 en la clase con Rumbea, ya te había visto desde lejos, pero nunca creí que tuviera una clase contigo.Eres una chica muy impredecible. Lástima que por el Covid19. No te puedo conocer.
Por cierto soy chico."
Anónimo,June 4 2020,1:15 a.m.,4,0,0,Repetiría 2017 nuevamente
Anónimo,June 3 2020,9:10 p.m.,2,3,0,"Confieso que no puedo sacar de mi cabeza a una persona que aunque solo eramos conocidos por una extraña razón sentia que la conocia ,sentia que era muy parecida a mi y me perdia en su mirada cuando estas se encontraban."
Anónimo,June 2 2020,10:19 p.m.,2,0,0,Confieso que estoy con la leñadiosa en emprendimiento y llegó la hora de telenamorarme a lo pendejo.
Anónimo,June 1 2020,8:40 p.m.,2,0,0,"No sé si esto sea una confesión pero M.H espero que estés bien,tengas salud y obviamente hayas sobrevivido a la pandemia,cuando estaba en espol solía verte a veces quería acercarme a saludar(ya no lo podré hacer ahora estudio leyes en la ug) además tienes novia y ella me odia.A pesar de todo lo que pasó entre nosotros no te guardo rencor y sé que siempre me recordarás como tu nicky.
Posdata: me llamo nicole"
Anónimo,June 1 2020,11:07 a.m.,5,0,0,"Podrás aparentar muchas cosas solo por herir a alguien, pero al corazón no se lo puede engañar, en el fondo te haces daño a ti mismo porque sabes que todo es una fachada para cubrir el dolor."
Anónimo,May 31 2020,6:55 p.m.,3,0,0,cómo diferenciar entre atracción y amor?
Anónimo,May 31 2020,6:22 p.m.,1,0,0,"Como era de esperarse era novata de primer  y pues comenzaba a conocer la universidad y poco a poco comencé a darme cuenta de q aquí hay gente maravillosa en el todo el sentido de la palabra. Quizás exageré un poco pero nunca me había pasado algo así. Primero empezó cuando en el bus no tenía tarjeta, pero obvio tenía el dinero y le ofrecía al q estaba adelante que me deje pasar pero este me decía pasa nomas, sin aceptarme el dinero. Al principio creí q era porque soy chica, pero después ocurrió eso con chicas también y me pareció super sweet. Después cuando perdí mi cartuchera en el baño, tres días después ahí mismo se quedó. O cuando tenía demasiados   libros alguien siempre me ayudaba. En fin, pero lo q me hizo decir guau! Fue cuando en mi clase de fdp deje mi Gmail abierto, donde tengo todos los doc más importantes donde solo existe ahi y en ningún otro lado existe otro respaldo. Y alguien me escribe por mi Gmail para mi Outlook diciéndome que deje el Gmail abierto y q no le hará nada malo, pero bien cualquier otro lo pudo haber hecho y q sea más cuidadosa. Obvio lo escribió de manera anónima, pero desde ahí le estoy super agradecida. Gracias quién sea q seas. Hable esto con mis amig@s y también se sorprendieron sobre la calidad de personas q hay y la pena q da no conocerl@s.

Y  que estaba esperando q volvamos a clases, para q hagan una fiesta y q por lo menos pueda bailar contigo o q por lo menos me veas y te guiñe el ojo. Pero la cuarentena no lo permitió. Por más q trata q me hagan el amarre contigo, ninguno de mis amigos sabes quién rayos eres. Pero se q bailaremos algún día y te devolveré ese gran favor quién sabe de no haberse sugerido esa matriz en el examen, seguramente no hubiera mejorado mi promedio.
Xoxo, ayudante de fdp
Pd:solo recuerdo q se llamaba Lenin, bonito nombre :)"
Anónimo,May 31 2020,4:05 a.m.,3,0,0,"Hola! Más que una confesión, necesito ayuda y opiniones desde otros Puntos de vista.
Estoy separada de mí ex con quién tenemos una niña,vivimos lejos en diferentes provincias.
Dolió muchísimo la separación después de 10 años. Hay cariño pero también hay resentimientos lo que es nuestra nueva relación que atravesamos como Exes ,sea inestable. (Tratamos de tener buena relación por nuestra hija)
Particularmente me duele mucho hablar con el porque no logro olvidarlo,tengo ataques de llanto, ansiedad,angustia,rabia e insomnio.  El por otra parte lo veo bastante bien,está encontrándose consigo mismo a solas, porque no tener relaciones sentimentales. Dedica su tiempo a reconstruir una mejor autoestima,lo cual es admirable.
Hace 10 meses nos separamos en lapso el regreso a nuestra provincia a visitarnos,tuvimos un reencuentro y no sé si debió haber pasado porque me romovio los sentimientos cuando estaba tratando de adormercerlos.
A él le pasó lo mismo,pero regreso a su ciudad ya que a pesar de tener esos encuentros,tenemos en claro que por más que haya cariño o se extrañe,estamos bien solos encaminandonos en nuestro objetivo de poder sanar interiormente .
Yo me ilusione con que se quedase junto a nosotras. El me dice que no quiere estar conmigo hoy en día pero que uno nunca sabe que puede pasar en el futuro,que lugares como los de nosotros no los ocupa nadie. Se maneja con un poco de distancia y frialdad a la vez me confunde porque dice que vamos hacer un viaje ""en familia"" que nos debemos.
Aveces dice que nuestra relación de casados no fue buena,pocos recuerdos buenos fueron. Pocos recuerdos buenos tiene de mí.
(Aclaro que cuando se dice eso es porque en esos años yo padecí una profunda depresión)
Me duele en alma ser un recuerdo doloroso en su vida :'( ,pero me mata cuando me dice que no tiene un buenos recuerdos de mí.
Entonces no entiendo ¿Por qué me querría? Por qué se empecina en querer tener comunicación conmigo? (aparte de nuestro hija) por qué siempre me quiere ayudar económicamente ? ...Si yo soy un mal recuerdo ,una herida.
Intente tener poco contacto,mí hija por supuesto no está metida en el medio ,ella siempre está en comunicación.
Le dije que lo iba a bloquear del Whats y el dice que le parece mal porque quiere ser mí amigo,me quiere ayudar,ve todos mis estados. 
Aveces cuando me siento mal le hablo pero es frio,no sé dónde está su amistad. No lo entiendo me confunde demasiado. Y aunque me duela mucho aveces no quiero hablar más con para poder cerrar mí herida y seguir.
Porque no puedo esperar cómo una Penélope a que algún dia después de años regresemos como pareja. Me hace mal estar pendiente si le mando mensajes o si ve mis estados,cómo me habla de que forma.
Aveces pienso que quiere tener el control de esto y en el fondo le gusta que sea así,casi como castigandome. Qué me ayude con dinero le da más poder y seguramente un poco más de control sobre mí.
No sé cómo hacer para olvidarlo si hay una hija en el medio,tenemos que tratar continuamente.
Qué creen?"
Anónimo,May 31 2020,1:33 a.m.,2,0,0,"No sé ni por donde empezar pero la historia es así...
Mi ex y yo seguíamos hablando todo lindo y bueno el seguía con eso de que yo era el amor de su vida 🙄 yo aún sentía algo por él pero no quería admitirlo,después de unos meses su novia me envió un mensaje en whatsapp diciéndome que me aleje de él (yo no sabía que él tenía novia) lo único que hice fue dejarla en visto,me dijo cosas muy denigrantes,insultos que jamás alguien me había dicho,no le respondí porque odio los problemas,pero en serio chicas si quieren reclamarle a alguien porque supuestamente se metió con su novio primero averigüen bien como son las cosas,ustedes quedan mal reclamando.
Les enseñé a mis amigas lo que me escribió y se empezaron a burlar de ella,yo sentí pena ajena.NADIE debería ser engañado de tan vil forma pero bueno hasta donde sé ya llevan 3 años juntos,siempre los veía paseando por la FCNM debo admitir que cada vez que la veía sentía tristeza por ella."
Anónimo,May 30 2020,9:11 p.m.,1,0,0,"El semestre pasado vi Ecuaciones Diferenciales, una materia que le dedique bastante de mi empeño ya que me gusto, y personalmente mi técnico docente me hizo ver lo maravilloso que una clase puede llegar a convertirse. Gracias a Illych Alvarez me anime a postular por  ayudantes con el en especifico, di el examen de mejoramiento para mejorar mi promedio y antes de entregar mi examen le pregunte si iba a dar la materia el semestre siguiente, me callo y en forma jocosa me dijo que me concentrara en el examen. Lastimosamente ya no se encuentra como docente este semestre :'( , a lo mejor quería evadirme el tema ya que sabia lo que podria venirse incluso antes de la pandemia, perdí un maestrazo que pudo ser mi colega para ser ayudante... Gracias por darle un nuevo significado a lo que es ser profesor, MIS RESPETOS"
Anónimo,May 30 2020,6:26 p.m.,1,0,0,"Ya que todos confiesan como la están pasando en la pandemia también lo haré.
Hace muchos días creí que las personas podían cambiar para vivir todos en armonía, creí que si yo me esfuerzo por ayudar y ser atento con las demás personas ellos también harán lo mismo. 
Hace poco mi familia y yo nos contagiamos de covid, mi padre se enfermo de gravedad y los demás incluyéndome tuvimos fiebre, tos y cansancio excesivo, recuerdo que podía estar un día completo durmiendo, pero no lo hacía por tener que atender a mi padre, recuerdo las noches que empeoraba y los pensamientos de en qué momento sería la última noche de uno de nosotros y en todo ese momento solo  dos amigos preguntaban por mi, de todos los que creí tener, sinceramente nunca he esperado nada de nadie pero al final la gente siempre termina decepcionandome más.
Pasada la crisis, creí que todo lo que ocurrió haría reflexionar a mi familia, de que solo nos tenemos a nosotros y a nadie más, de intentar resolver nuestros problemas y ser una mejor familia, y no fue así, de hecho si lo miro más de lejos parece como si nada hubiera pasado, y no lograba encontrar el ¿por qué?.
Pero después de eso me puse a estudiar un poco de psicología, y entendí muchas cosas, las personas no cambian de un día para otro, la personalidad de ellas se mantiene y el cambio solo se da dependiendo del ambiente en que se encuentra la persona, entonces comprendí que no importa cuanto me esfuerce por ser amable, por ser positivo, y por intentar ser bueno, las personas no responderán de la misma forma, y es egoísta de mi parte esperar algo bueno de los demás. Creo que esta pandemia saco lo peor de mi."
Anónimo,May 29 2020,10:06 p.m.,1,0,0,"Bueno aqui les va mi confesión de 3 años con el mismo crush, así es 3 pinches años.
La cosa empezó en 2do semestre cuando dejada en el baldeo acabe con el en un laboratorio de química, desde la primera clase me ayudo porque estaba bien pérdida. Fue un lab del demonio pero salieron buenas amistades, entre ellas el crush. Que por qué no actué entonces, ya en tercero me enteré que una compañera se le declaró al crush y bien rechazada nos dejo a las dos con su quiero centrarme en mis estudios y ahora no busco nada serio.
Me dije esta bien sigamos, pero el man siguió ahi en mis dos relaciones fallidas, me ayudo con el tóxico incluso. Siempre en rol de amigo, y tal vez por eso no lo supere completamente. 
Flash forward a esta cuarentena donde he dependido aun más de el, literal hablamos todos los días y me doy cuenta que estoy peor que antes. Amigos aprendí a jugar lol para pasar más tiempo con el; después de todo no lo supere y quien sabe como me ve, probablemente como un pana mas. 
Nelson si ves esto date cuenta que me gustas mucho. TT-TT"
Anónimo,May 29 2020,8:06 p.m.,2,0,0,"Me gustaría dar una sugerencia con respecto a las clases virtuales
¿No sería genial que se arme un repositorio web con todas las grabaciones de las clases en línea dictadas este termino en Espol?
Así podríamos disfrutar y almacenar el conocimiento, aprender de forma asincrónica, en especial para las materias finales de carrera.
Si bien es cierto, Espol ya cuenta con un canal en YouTube con el contenido de algunas materias, no son todas y este semestre podría ser la oportunidad para ampliar el catálogo y que el conocimiento llegue a todos."
Anónimo,May 29 2020,8:58 a.m.,3,0,0,"Confieso que empezó la cuarentena pesaba 195 libras(gordo hp). Me pesé ayer jueves y me di cuenta que en 2 meses bajé 11 libras sin hacer nada más que estar sentado o acostado con mi laptop y mi celular. Ah, y en estas últimas semanas rara vez desayunando o comiendo empanadas ¿Alguien tiene una teoría de cómo alguien baja de peso así de la nada? Creo que acepto cualquier teoría"
Anónimo,May 29 2020,2:15 a.m.,1,0,0,"El karma existe, o eso quiero creer 

Pues le rompieron el corazón de una forma desastrosa, no me alegro en lo más mínimo puesto que ya la supere hace mucho tiempo
Pero wow..."
Anónimo,May 28 2020,11:12 a.m.,1,0,0,"Quiero confesar algo que nunca quise hacerlo ni me animé a decirtelo en persona M.J.M.S, Eres alguien muy especial para mi, y siempre intenté que sientas ese cariño hacia tí, me ocultaba bajo una amiga o quizás una conocida más que tenias en la u. Habian tantas cosas que amaba de tí, tu sonrisa, tus ojitos caididitos. El que siempre olias rico, pero sobre todo que eras tan buena persona con todos.
Nunca me animé a decirté porque tenias novia y te veia con ella todo el tiempo a lo lejos, me entristecia mucho saber que no era yo quien pasaba contigo todo ese tiempo, sin embargo me daba alegria que alguién mas te hacia feliz, sé qure nunca tuve ninguna oportunidad nunca me diste ninguna señal de que almenos te llamaba la atención, hoy almenos me animé a escribir ésto con la esperanzas de que lo veas y causar almenos intriga en tí, ésta situación que todo el mundo esta pasando y el hecho de que estuve muy enferma 
al punto de encontrarme con respirador, me hizo pensar y decidir de que almenos deberias saberlo por medio de éste medio, que hay alguién que siempre piensa en tí, y que te quiere un montón por tu escencia. Espero algún día animarme y decirtelo en persona."
Anónimo,May 27 2020,11:46 p.m.,2,0,0,"Confieso que extraño la salsita de queso con cebolla de la carreta, Ufff papá :( Confirmen si alguien tiene esa receta para hacer una casera :("
Anónimo,May 27 2020,5:26 p.m.,1,0,0,"El grupo de whatsapp de confesiones Espol esta muriendo
https://goo.gl/jupF8s?fbclid=IwAR0VR29BQSiWHjWhaEeYyN2bpDjLHpEeDiYglR0OuAKp3c6YSFefSHyMJF8"
Anónimo,May 27 2020,4:21 p.m.,1,0,0,"Bro ella ha salido con 29 chicos al menos
Huya de allí"
Anónimo,May 25 2020,6:08 p.m.,17,5,0,"Hace tiempo escuché como 3 novatos hablaban tan descaradamente sobre un tal Jonathan, al que le pagaban  para hacer los deberes de fundamentos,tipo:

-Oe pasame el número de ese man para ver cuanto cobra por hacerme el proyecto. 
-si ya te paso, el man es el que me hace los deberes. 

En mi mente decía:Tan poca vergüenza tienen?. 
Desde ese día me tomé el tiempo para revisar bien los deberes y clavar 0 a las copias descaradas. Porque resultó que yo era el ayudante de su paralelo de Fundamentos."
Anónimo,May 25 2020,2:14 p.m.,5,3,0,"Confieso que nunca antes me había sentido tan bien. La pandemia fue un duro golpe en muchos aspectos, pero el aislarme de todo, concentrarme en mis proyectos, y poder deconstruir mis ideas de emprendimientos y con lo que quiero ganar dinero... Nada de esto hubiese sido posible si no hubiese ocurrido esto; al menos no a este nivel y con esta velocidad de trabajo.

Actualmente me encuentro buscando personal para lo que será mi empresa, pero eso jaja ya es otra historia. 

La hvda es: concéntrense y piensen en uds, qué amores ni que vrg; al menos en mi situación jsjs no quiero ni espero tener una relación en el corto-mediano plazo; mas bien, lograr solucionar vainas económicas y por fin dejar de depender de si debo pagar o no un platito de guatita extra.

Eso por ahora. Cuídense HPTAS."
Anónimo,May 24 2020,11:53 p.m.,2,2,0,"Crush, me gusta verte, verte todo el tiempo, que bello cuando subes una foto, como me encantas con todo tu narcisismo de m... y tú obsesión compulsiva por valer eso. Me gusta verte desde lejos, tengo una extraña fascinación contigo que llevo arrastrando desde un tiempo atrás, comenzó por puro accidente, allí estaba yo pendejo como de costumbre sentada en la baca de atrás del kiosko del ICQA y luego llegaste como una flecha, caminando y riendo con quien creo es tu mejor amiga KZ xq siempre los veo juntos, venías del parqueadero y causaste un cambio en la química del cerebro, era casi medio día y tenías una sonrisa que puede matar a cualquiera, entraste a AIChE y te vi sentarte en la computadora a través del cristal (averigüe lo que es AIChE solo por ti y luego de eso pasaba x allí xq sabia que siempre estarías). Irremediablemente luego tuve la necesidad de verte a diario, presenciar tu felicidad desde lejos sin tratar de interrumpir nada, solo me gusta verte. Me gusta verte los días soleados porque tus lentes oscuros te daban una personalidad misteriosa, me gustas y nada más, no me quiero casar contigo, solo me encantas de aquí al infinito y más allá. Creo que este semestre estás viendo la integradora y lamentablemente por el modo virtual ya no te veré en los pasillos de la FCNM y AIChE, espero que estes bien en California."
Anónimo,May 24 2020,6:55 p.m.,9,2,0,"Confieso que estoy harta de ver a gente tan irresponsable e inconsciente con respecto al covid, a diario veo que se reúnen, que chupan, o salen a supuestamente hacer ejercicio. Vi a mis familiares morir, y esto me parece un insulto, cuando ellos si tuvieron cuidado y aún así el virus les llegó. Si se quieren morir, suicídense, pero dejen de ser egoístas, ni ustedes son inmortales ni sus papás o abuelos tienen buenas defensas como creen. Ya maduren montón de irresponsables, luego no estén rogando por una cama en un hospital, cosa que ustedes mismo saturaron."
Anónimo,May 24 2020,midnight,3,0,0,"En realidad quisiera un consejo ,quiero a mi novio y llevamos 6 años pero me ha engañado en ciertas ocasiones debido a todo esto que pasa lo ultimos meses ha molestado con que quiere casarse conmigo el detalle esta en que no quiero   casarme con él ,porque hasta el momento he pensado que el no era el amor de mi vida y que solo estaba acostumbrada a él o por no sentirme sola y que algún dia iba a conocer a esa persona especial"
